datetime,temperature,humidity,person
2025-06-27 08:00:00,24.25,55.6,Aconcagua.csv
2025-06-27 09:00:00,24.3,55.2,Aconcagua.csv
2025-06-27 10:00:00,24.3,54.8,Aconcagua.csv
2025-06-27 11:00:00,24.3,54.4,Aconcagua.csv
2025-06-27 12:00:00,24.3,54.45,Aconcagua.csv
2025-06-27 13:00:00,24.3,54.5,Aconcagua.csv
2025-06-27 14:00:00,24.3,54.45,Aconcagua.csv
2025-06-27 15:00:00,24.3,54.4,Aconcagua.csv
2025-06-27 16:00:00,24.25,54.2,Aconcagua.csv
2025-06-27 17:00:00,24.2,54.0,Aconcagua.csv
2025-06-27 18:00:00,24.2,53.9,Aconcagua.csv
2025-06-27 19:00:00,24.2,53.8,Aconcagua.csv
2025-06-27 20:00:00,24.15,53.099999999999994,Aconcagua.csv
2025-06-27 21:00:00,24.1,52.4,Aconcagua.csv
2025-06-27 22:00:00,23.950000000000003,51.55,Aconcagua.csv
2025-06-27 23:00:00,23.8,50.7,Aconcagua.csv
2025-06-28 00:00:00,23.700000000000003,50.75,Aconcagua.csv
2025-06-28 01:00:00,23.6,50.8,Aconcagua.csv
2025-06-28 02:00:00,23.450000000000003,51.05,Aconcagua.csv
2025-06-28 03:00:00,23.3,51.3,Aconcagua.csv
2025-06-28 04:00:00,23.3,51.5,Aconcagua.csv
2025-06-28 05:00:00,23.3,51.7,Aconcagua.csv
2025-06-28 06:00:00,23.3,51.5,Aconcagua.csv
2025-06-28 07:00:00,23.3,51.3,Aconcagua.csv
2025-06-28 08:00:00,23.450000000000003,52.25,Aconcagua.csv
2025-06-28 09:00:00,23.6,53.2,Aconcagua.csv
2025-06-28 10:00:00,23.65,52.8,Aconcagua.csv
2025-06-28 11:00:00,23.7,52.4,Aconcagua.csv
2025-06-28 12:00:00,23.799999999999997,52.599999999999994,Aconcagua.csv
2025-06-28 13:00:00,23.9,52.8,Aconcagua.csv
2025-06-28 14:00:00,24.0,53.05,Aconcagua.csv
2025-06-28 15:00:00,24.1,53.3,Aconcagua.csv
2025-06-28 16:00:00,24.05,53.25,Aconcagua.csv
2025-06-28 17:00:00,24.0,53.2,Aconcagua.csv
2025-06-28 18:00:00,24.0,53.150000000000006,Aconcagua.csv
2025-06-28 19:00:00,24.0,53.1,Aconcagua.csv
2025-06-28 20:00:00,24.0,53.05,Aconcagua.csv
2025-06-28 21:00:00,24.0,53.0,Aconcagua.csv
2025-06-28 22:00:00,24.25,55.35,Aconcagua.csv
2025-06-28 23:00:00,24.5,57.7,Aconcagua.csv
2025-06-29 00:00:00,24.55,58.150000000000006,Aconcagua.csv
2025-06-29 01:00:00,24.6,58.6,Aconcagua.csv
2025-06-29 02:00:00,24.6,58.900000000000006,Aconcagua.csv
2025-06-29 03:00:00,24.6,59.2,Aconcagua.csv
2025-06-29 04:00:00,24.55,59.900000000000006,Aconcagua.csv
2025-06-29 05:00:00,24.5,60.6,Aconcagua.csv
2025-06-29 06:00:00,24.5,60.25,Aconcagua.csv
2025-06-29 07:00:00,24.5,59.9,Aconcagua.csv
2025-06-29 08:00:00,24.5,59.5,Aconcagua.csv
2025-06-29 09:00:00,24.5,59.1,Aconcagua.csv
2025-06-29 10:00:00,24.5,58.7,Aconcagua.csv
2025-06-29 11:00:00,24.5,58.3,Aconcagua.csv
2025-06-29 12:00:00,24.55,58.05,Aconcagua.csv
2025-06-29 13:00:00,24.6,57.8,Aconcagua.csv
2025-06-29 14:00:00,24.65,57.849999999999994,Aconcagua.csv
2025-06-29 15:00:00,24.7,57.9,Aconcagua.csv
2025-06-29 16:00:00,24.7,57.75,Aconcagua.csv
2025-06-29 17:00:00,24.7,57.6,Aconcagua.csv
2025-06-29 18:00:00,24.7,57.3,Aconcagua.csv
2025-06-29 19:00:00,24.7,57.0,Aconcagua.csv
2025-06-29 20:00:00,24.5,51.7,Aconcagua.csv
2025-06-29 21:00:00,24.1,46.2,Aconcagua.csv
2025-06-29 22:00:00,23.8,45.075,Aconcagua.csv
2025-06-29 23:00:00,23.5,43.95,Aconcagua.csv
2025-06-30 00:00:00,23.35,44.025000000000006,Aconcagua.csv
2025-06-30 01:00:00,23.2,44.1,Aconcagua.csv
2025-06-30 02:00:00,23.299999999999997,44.35,Aconcagua.csv
2025-06-30 03:00:00,23.4,44.6,Aconcagua.csv
2025-06-30 04:00:00,23.099999999999998,44.8,Aconcagua.csv
2025-06-30 05:00:00,22.799999999999997,45.0,Aconcagua.csv
2025-06-30 06:00:00,23.049999999999997,45.4,Aconcagua.csv
2025-06-30 07:00:00,23.299999999999997,45.8,Aconcagua.csv
2025-06-30 08:00:00,23.549999999999997,45.9,Aconcagua.csv
2025-06-30 09:00:00,23.8,46.0,Aconcagua.csv
2025-06-30 10:00:00,23.85,46.15,Aconcagua.csv
2025-06-30 11:00:00,23.9,46.3,Aconcagua.csv
2025-06-30 12:00:00,23.95,46.4,Aconcagua.csv
2025-06-30 13:00:00,24.0,46.5,Aconcagua.csv
2025-06-30 14:00:00,24.1,46.95,Aconcagua.csv
2025-06-30 15:00:00,24.2,47.4,Aconcagua.csv
2025-06-30 16:00:00,24.25,47.65,Aconcagua.csv
2025-06-30 17:00:00,24.3,47.9,Aconcagua.csv
2025-06-30 18:00:00,24.15,45.3,Aconcagua.csv
2025-06-30 19:00:00,24.0,42.7,Aconcagua.csv
2025-06-30 20:00:00,24.0,41.6,Aconcagua.csv
2025-06-30 21:00:00,23.8,40.8,Aconcagua.csv
2025-06-30 22:00:00,23.6,40.0,Aconcagua.csv
2025-06-30 23:00:00,23.450000000000003,42.15,Aconcagua.csv
2025-07-01 00:00:00,23.3,44.3,Aconcagua.csv
2025-07-01 01:00:00,23.25,44.95,Aconcagua.csv
2025-07-01 02:00:00,23.2,45.6,Aconcagua.csv
